CATA	-0.001	-0.006	2011-06-15
CATA	-0.002	-0.004	2011-06-22
CATA	-0.001	-0.005	2011-06-29
CATA	-0.002	-0.004	2011-07-06
CATA	-0.001	-0.005	2011-07-13
CATA	-0.003	-0.002	2011-07-20
CATA	-0.003	-0.003	2011-07-27
CATA	-0.005	-0.001	2011-08-03
CATA	-0.004	-0.003	2011-08-10
CATA	-0.006	-0.002	2011-08-17
CATA	-0.006	-0.002	2011-08-24
CATA	-0.006	0.000	2011-08-31
CATA	-0.007	-0.001	2011-09-07
CATA	-0.004	-0.001	2011-09-14
CATA	-0.006	0.000	2011-09-21
CATA	-0.006	-0.002	2011-09-28
CATA	-0.004	-0.004	2011-10-05
CATA	-0.004	-0.004	2011-10-12
CATA	-0.006	-0.003	2011-10-19
CATA	-0.005	-0.002	2011-10-26
CATA	-0.005	-0.002	2011-11-02
CATA	-0.003	-0.002	2011-11-09
CATA	-0.006	-0.002	2011-11-16
CATA	-0.005	-0.002	2011-11-23
CATA	-0.005	-0.001	2011-11-30
CATA	-0.003	-0.000	2011-12-07
CATA	-0.003	0.002	2011-12-14
CATA	-0.002	-0.003	2011-12-21
CATA	-0.004	0.001	2011-12-28
CATA	-0.003	-0.001	2012-01-11
CATA	-0.003	0.001	2012-01-18
CATA	-0.003	-0.001	2012-01-25
CATA	-0.001	-0.001	2012-02-01
CATA	-0.001	-0.000	2012-02-08
CATA	-0.002	0.001	2012-02-15
CATA	-0.003	0.000	2012-02-22
CATA	0.001	-0.000	2012-02-29
CATA	-0.002	-0.000	2012-03-07
CATA	-0.002	0.003	2012-03-14
CATA	-0.002	0.003	2012-03-21
CATA	-0.003	0.003	2012-03-28
CATA	-0.004	-0.001	2012-04-04
CATA	-0.005	0.003	2012-04-11
CATA	-0.005	0.004	2012-04-18
CATA	-0.004	0.002	2012-04-25
CATA	-0.006	0.004	2012-05-02
CATA	-0.008	0.002	2012-05-09
CATA	-0.009	0.003	2012-05-16
CATA	-0.007	0.001	2012-05-23
CATA	-0.008	0.001	2012-05-30
CATA	-0.006	0.001	2012-06-06
CATA	-0.007	-0.000	2012-06-13
CATA	-0.007	0.002	2012-06-20
CATA	-0.008	0.001	2012-06-27
CATA	-0.009	0.003	2012-07-04
CATA	-0.006	0.003	2012-07-11
CATA	-0.007	0.003	2012-07-18
CATA	-0.011	0.003	2012-07-25
CATA	-0.010	0.005	2012-08-01
CATA	-0.009	0.004	2012-08-08
CATA	-0.013	0.004	2012-08-15
CATA	-0.012	0.003	2012-08-22
CATA	-0.011	0.004	2012-08-29
CATA	-0.012	0.004	2012-09-05
CATA	-0.011	0.003	2012-09-12
CATA	-0.009	0.003	2012-09-19
CATA	-0.012	0.003	2012-09-26
CATA	-0.010	0.002	2012-10-03
CATA	-0.011	0.002	2012-10-10
CATA	-0.013	0.001	2012-10-17
CATA	-0.009	0.001	2012-10-24
CATA	-0.008	-0.001	2012-10-31
CATA	-0.008	0.000	2012-11-07
CATA	-0.007	0.004	2012-11-14
CATA	-0.008	0.002	2012-11-21
CATA	-0.006	0.002	2012-11-28
CATA	-0.006	-0.000	2012-12-05
CATA	-0.005	0.001	2012-12-12
CATA	-0.004	0.000	2012-12-19
CATA	-0.006	0.002	2012-12-26
CATA	-0.006	0.000	2013-01-02
CATA	-0.005	0.003	2013-01-09
CATA	-0.008	0.003	2013-01-16
CATA	-0.003	0.002	2013-01-23
CATA	-0.005	0.000	2013-01-30
CATA	-0.005	0.005	2013-02-06
CATA	-0.004	0.002	2013-02-13
CATA	-0.003	0.002	2013-02-20
CATA	-0.005	0.004	2013-02-27
CATA	-0.008	0.006	2013-03-06
CATA	-0.005	0.003	2013-03-13
CATA	-0.008	0.005	2013-03-20
CATA	-0.007	0.007	2013-03-27
CATA	-0.011	0.003	2013-04-03
CATA	-0.011	0.004	2013-04-10
CATA	-0.011	0.008	2013-04-17
CATA	-0.011	0.006	2013-04-24
CATA	-0.017	0.005	2013-05-01
CATA	-0.018	0.005	2013-05-08
CATA	-0.013	0.002	2013-05-15
CATA	-0.008	0.003	2013-05-22
CATA	-0.010	0.002	2013-05-29
CATA	-0.012	0.003	2013-06-05
CATA	-0.015	0.003	2013-06-12
CATA	-0.009	0.004	2013-06-19
CATA	-0.008	0.006	2013-06-26
CATA	-0.013	0.005	2013-07-03
CATA	-0.010	0.005	2013-07-10
CATA	-0.010	0.006	2013-07-17
CATA	-0.007	0.006	2013-07-24
CATA	-0.012	0.004	2013-07-31
CATA	-0.011	0.005	2013-08-07
CATA	-0.010	0.006	2013-08-14
CATA	-0.015	0.004	2013-08-21
CATA	-0.010	0.005	2013-08-28
CATA	-0.015	0.003	2013-09-04
CATA	-0.008	0.003	2013-09-11
CATA	-0.010	0.005	2013-09-18
CATA	-0.011	0.004	2013-09-25
CATA	-0.008	0.003	2013-10-02
CATA	-0.007	0.004	2013-10-09
CATA	-0.010	0.005	2013-10-16
CATA	-0.007	0.003	2013-10-23
CATA	-0.006	0.003	2013-10-30
CATA	-0.008	0.006	2013-11-06
CATA	-0.007	0.004	2013-11-13
CATA	-0.007	0.007	2013-11-20
CATA	-0.004	0.005	2013-12-04
CATA	-0.004	0.007	2013-12-11
CATA	-0.004	0.003	2013-12-18
CATA	-0.001	0.008	2013-12-25
CATA	-0.000	0.004	2014-01-01
CATA	0.001	0.004	2014-01-08
CATA	-0.001	0.006	2014-01-15
CATA	0.000	0.004	2014-01-22
CATA	0.000	0.006	2014-01-29
CATA	0.003	0.006	2014-02-05
CATA	0.001	0.004	2014-02-12
CATA	-0.000	0.008	2014-02-19
CATA	-0.002	0.012	2014-02-26
CATA	-0.003	0.011	2014-03-05
CATA	-0.004	0.009	2014-03-12
CATA	-0.007	0.010	2014-03-19
CATA	-0.005	0.010	2014-03-26
CATA	-0.006	0.010	2014-04-02
CATA	-0.009	0.009	2014-04-09
CATA	-0.007	0.008	2014-04-16
CATA	-0.010	0.008	2014-04-23
CATA	-0.008	0.008	2014-04-30
CATA	-0.009	0.009	2014-05-07
CATA	-0.008	0.010	2014-05-14
CATA	-0.007	0.011	2014-05-21
CATA	-0.006	0.010	2014-05-28
CATA	-0.010	0.011	2014-06-04
CATA	-0.009	0.010	2014-06-11
